标题,小区,地区,房源信息,总价,单价,所在区
['诚意卖！诚意卖！精装修三房两卫 通风对流 空间大'],['富力桃园 '],['罗冲围'],['3室1厅 | 114.21平米 | 南 | 精装 | 高楼层(共24层) | 2007年 | 塔楼'],['380'],"['33,273元/平']",白云区
['金桂园 三房两厅 屋内层高3.6米'],['金桂园 '],['桂花岗'],['3室2厅 | 118.87平米 | 北 | 精装 | 低楼层(共16层) | 2000年 | 塔楼'],['398'],"['33,482元/平']",白云区
['金桂园 过5年 非唯一 大型花园小区'],['金桂园 '],['桂花岗'],['3室2厅 | 111.29平米 | 南 北 | 精装 | 中楼层(共16层) | 2000年 | 塔楼'],['399'],"['35,853元/平']",白云区
['金桂园大型小区，望花园，三面采光，看花园'],['金桂园 '],['桂花岗'],['3室2厅 | 111.75平米 | 南 北 | 精装 | 中楼层(共16层) | 2000年 | 塔楼'],['420'],"['37,584元/平']",白云区
['富力桃园E区精装3房2卫，南北对流，拎包入住。'],['富力桃园 '],['罗冲围'],['3室2厅 | 114.21平米 | 东北 | 精装 | 低楼层(共24层) | 2008年 | 塔楼'],['368'],"['32,222元/平']",白云区
['东南向望江视野采光好 方正实用大三房'],['富力桃园 '],['罗冲围'],['3室1厅 | 128.23平米 | 东南 | 精装 | 低楼层(共23层) | 2008年 | 塔楼'],['520'],"['40,553元/平']",白云区
['金满花园 低层方正三房 采光好 保养新 地铁站300米'],['金满花园 '],['金沙洲'],['3室2厅 | 115.36平米 | 东南 | 其他 | 低楼层(共9层) | 2000年 | 塔楼'],['175'],"['15,170元/平']",白云区
['时代三期大三房！朝南中间好视野保养好即买即入住！'],['时代玫瑰园 '],['黄边'],['3室2厅 | 117.55平米 | 南 | 精装 | 中楼层(共18层) | 2008年 | 塔楼'],['408'],"['34,709元/平']",白云区
['一手业主，中层看花园 视野开阔无遮挡的'],['富力桃园 '],['罗冲围'],['3室1厅 | 114.4平米 | 西南 | 精装 | 中楼层(共32层) | 2004年 | 塔楼'],['354'],"['30,945元/平']",白云区
['桃园三房双卫   满五年  看花园  户型方正'],['富力桃园 '],['罗冲围'],['3室2厅 | 112.01平米 | 北 | 精装 | 中楼层(共30层) | 2004年 | 塔楼'],['338'],"['30,176元/平']",白云区
['御金沙准双地铁南北对流大三房  看花园安静'],['御金沙 '],['金沙洲'],['3室2厅 | 122.91平米 | 南 北 | 精装 | 低楼层(共25层) | 2011年 | 塔楼'],['430'],"['34,985元/平']",白云区
['舒适大平层四房，有平台，随时可看'],['圣地天河星荟 '],['京溪'],['3室1厅 | 119.24平米 | 北 南 | 精装 | 低楼层(共10层) | 2011年 | 塔楼'],['450'],"['37,740元/平']",白云区
['K区南向大三房 位置安静 实用率高 保养好 看房方便'],['岭南新世界 '],['嘉禾望岗'],['3室2厅 | 114.03平米 | 南 | 精装 | 低楼层(共9层) | 2008年 | 塔楼'],['450'],"['39,464元/平']",白云区
['南北对流，3房2卫，广州满五唯一，看房方便'],['御金沙澜山 '],['金沙洲'],['3室2厅 | 129.11平米 | 南 北 | 精装 | 低楼层(共25层) | 2015年 | 塔楼'],['418'],"['32,376元/平']",白云区
['东南方向，望花园大阳台近在咫尺设计之都'],['时代玫瑰园 '],['黄边'],['3室1厅 | 115.43平米 | 东南 | 精装 | 高楼层(共18层) | 2008年 | 塔楼'],['430'],"['37,253元/平']",白云区
['C区大3房，业主诚意卖，保养新'],['富力桃园 '],['罗冲围'],['3室2厅 | 111.56平米 | 西南 | 简装 | 低楼层(共30层) | 2004年 | 塔楼'],['354'],"['31,732元/平']",白云区
['此房满五唯一 原装电梯实用三房 户型方正精装修带主套'],['岭南雅院 '],['同德围'],['3室2厅 | 113.37平米 | 西南 | 简装 | 低楼层(共9层) | 2007年 | 塔楼'],['320'],"['28,227元/平']",白云区
['山水庭苑-高层湖景-户型实用方正-无遮挡视野开阔。'],['山水庭苑 '],['南湖'],['3室1厅 | 117.36平米 | 东南 | 精装 | 19层 | 2007年 | 塔楼'],['380'],"['32,380元/平']",白云区
['房子满五唯一南向精装修交通出行方便'],['怡新花园 '],['梅花园'],['3室2厅 | 116.75平米 | 南 | 精装 | 17层 | 2007年 | 塔楼'],['550'],"['47,110元/平']",白云区
