标题,小区,地区,房源信息,总价,单价,所在区
['巴厘天地 通风采光，格局方正 交通便利 生活配套成熟'],['人盛巴厘天地 '],['神岗镇'],['3室2厅 | 126.17平米 | 东南 | 毛坯 | 高楼层(共17层) | 2012年 | 塔楼'],['80'],"['6,341元/平']",从化区
['神岗站 毛坯三房两卫 中高层视野开阔 南向通风'],['人盛巴厘天地 '],['神岗镇'],['3室2厅 | 121平米 | 南 | 毛坯 | 17层 | 2011年 | 塔楼'],['76'],"['6,281元/平']",从化区
['急卖，无遮挡，采光好，南向双阳台，珠江国际城大三房'],['珠江国际城 '],['神岗镇'],['3室2厅 | 121.94平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合'],['100'],"['8,201元/平']",从化区
['珠江壹城电梯房 南北对流 视野开阔 采光好'],['珠江国际城 '],['神岗镇'],['3室2厅 | 114平米 | 东北 | 精装 | 高楼层(共28层)  | 板塔结合'],['88'],"['7,720元/平']",从化区
['大城云山 小区好户型 好楼层 满五唯一'],['大城云山 '],['太平镇'],['3室1厅 | 117.56平米 | 东北 | 毛坯 | 高楼层(共17层) | 2016年 | 塔楼'],['85'],"['7,231元/平']",从化区
['小区人车分流并设有地下停车场， 车位比例达到1：1'],['雅居乐小院流溪 '],['赤草'],['3室2厅 | 110.56平米 | 西北 | 其他 | 低楼层(共16层) | 2017年 | 塔楼'],['88'],"['7,960元/平']",从化区
['大阳台，户型美丽，楼层好，三房两卫'],['人盛巴厘天地 '],['神岗镇'],['3室1厅 | 123.73平米 | 西北 | 毛坯 | 中楼层(共17层) | 2012年 | 塔楼'],['76'],"['6,143元/平']",从化区
['小区绿化十分高，空气环境也很好，很适合居住！'],['景业荔都 '],['江浦街'],['3室2厅 | 112.84平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼'],['85'],"['7,533元/平']",从化区
['生活配套，交通便捷，市场就在小区楼下'],['人盛巴厘天地 '],['神岗镇'],['3室2厅 | 123.62平米 | 东南 | 毛坯 | 高楼层(共17层) | 2012年 | 塔楼'],['94'],"['7,604元/平']",从化区
['巴厘天地 东南向 三房两卫 满五 位置安静 中楼层'],['人盛巴厘天地 '],['神岗镇'],['3室2厅 | 125.5平米 | 南 北 | 毛坯 | 中楼层(共17层) | 2012年 | 塔楼'],['93'],"['7,411元/平']",从化区
