标题,小区,地区,房源信息,总价,单价,所在区
['单边位 精装修保养好 采光通风好 诚意放卖'],['珠江帝景苑 '],['滨江东'],['3室2厅 | 125.83平米 | 东北 | 其他 | 中楼层(共13层) | 2005年 | 塔楼'],['920'],"['73,115元/平']",海珠区
['金碧一 优质三房，南向安静望花园 满五唯一'],['金碧花园第一金碧 '],['金碧'],['3室1厅 | 113.31平米 | 东南 | 精装 | 中楼层(共22层) | 2000年 | 塔楼'],['395'],"['34,861元/平']",海珠区
['此房满五年唯一，整个小区同样户型醉隼'],['第三金碧花园 '],['金碧'],['3室1厅 | 110.32平米 | 东北 | 精装 | 低楼层(共32层) | 2005年 | 板塔结合'],['415'],"['37,618元/平']",海珠区
['愉景南苑 东南向三房两卫 看房方便'],['愉景南苑 '],['新港西'],['3室1厅 | 117.8平米 | 东南 | 精装 | 低楼层(共18层) | 2002年 | 塔楼'],['556'],"['47,199元/平']",海珠区
['领事馆旁 米兰苑 电梯三房两卫 满五唯一 交通便利'],['米兰苑 '],['滨江东'],['3室2厅 | 111.05平米 | 南 北 | 精装 | 中楼层(共9层) | 1998年 | 塔楼'],['560'],"['50,428元/平']",海珠区
['广州塔下低密度原装电梯小区 东南望广州塔 近三馆一园'],['翠园 '],['客村'],['3室2厅 | 128.34平米 | 南 | 精装 | 中楼层(共8层) | 2001年 | 塔楼'],['880'],"['68,568元/平']",海珠区
['背靠校园 格局方正 电梯三房 与珠江新城隔江相望'],['碧海大厦 '],['客村'],['3室2厅 | 120.56平米 | 东南 | 精装 | 中楼层(共15层)  | 塔楼'],['598'],"['49,602元/平']",海珠区
['此房满五年不唯一 精装修交楼 东西对流 视野开阔'],['罗马家园 '],['沥滘'],['3室1厅 | 127.11平米 | 东 西 | 其他 | 高楼层(共28层) | 2007年 | 塔楼'],['550'],"['43,270元/平']",海珠区
['20年交楼的次新房  广州塔下   3号线地铁100米'],['泊雅湾 '],['滨江东'],['3室1厅 | 112.71平米 | 北 | 精装 | 低楼层(共18层) | 2008年 | 塔楼'],['750'],"['66,543元/平']",海珠区
['广州塔旁泓景花园少有三房笋盘望花园无遮挡采光通风好'],['泓景花园 '],['赤岗'],['3室2厅 | 113.96平米 | 南 北 东北 | 精装 | 11层 | 2006年 | 板楼'],['956'],"['83,890元/平']",海珠区
['满五唯一 省税费 户型方正 产权清晰   视野无遮挡'],['珠江帝景苑 '],['滨江东'],['3室2厅 | 125.47平米 | 北 | 其他 | 中楼层(共13层) | 2005年 | 塔楼'],['1080'],"['86,077元/平']",海珠区
['丽影华庭 大三房南向 看房方便无抵押'],['丽影华庭C区 '],['客村'],['3室2厅 | 123.99平米 | 南 | 精装 | 中楼层(共26层) | 2002年 | 塔楼'],['890'],"['71,780元/平']",海珠区
['泊雅湾 N6栋 看江看塔 2019年收楼 全新装修'],['泊雅湾 '],['滨江东'],['3室2厅 | 114.8平米 | 东北 | 精装 | 中楼层(共18层) | 2008年 | 塔楼'],['1200'],"['104,530元/平']",海珠区
['罗马家园高层南北对流大三房，精装修通风采光好'],['罗马家园 '],['沥滘'],['3室2厅 | 128.85平米 | 南 北 | 精装 | 中楼层(共12层) | 2007年 | 塔楼'],['650'],"['50,447元/平']",海珠区
['南北通透双阳台大三房，板楼一梯两户'],['罗马家园 '],['沥滘'],['3室2厅 | 128.85平米 | 南 北 | 简装 | 中楼层(共12层) | 2007年 | 塔楼'],['550'],"['42,686元/平']",海珠区
['影城花园  客村地铁  交通便利 出行方便'],['影城花园 '],['客村'],['3室1厅 | 126平米 | 南 北 | 其他 | 低楼层(共27层) | 2003年 | 塔楼'],['445'],"['35,318元/平']",海珠区
['广州塔品质小区满五年省重税全明屋休闲品鉴小蛮腰夜景'],['泓景花园 '],['赤岗'],['3室1厅 | 110.13平米 | 南 北 | 其他 | 中楼层(共28层) | 2007年 | 塔楼'],['980'],"['88,986元/平']",海珠区
['世纪云顶 中高楼层 户型方正 楼龄新'],['世纪云顶雅苑 '],['滨江东'],['3室2厅 | 118.04平米 | 东南 北 | 精装 | 中楼层(共32层) | 2009年 | 塔楼'],['748'],"['63,369元/平']",海珠区
['泓景花园 望广州塔 北向三房 过五唯一'],['泓景花园 '],['赤岗'],['3室2厅 | 110.13平米 | 北 | 其他 | 低楼层(共28层) | 2007年 | 塔楼'],['880'],"['79,906元/平']",海珠区
['高层大三房，南北对流，望广州塔，视野景观无遮挡'],['泓景花园 '],['赤岗'],['3室2厅 | 117.33平米 | 东北 | 其他 | 中楼层(共24层) | 2007年 | 塔楼'],['1100'],"['93,753元/平']",海珠区
['丽水庭园 方正大三房 保养新 通风采光好'],['丽水庭园 '],['滨江东'],['3室2厅 | 121.04平米 | 西南 | 精装 | 中楼层(共19层) | 2002年 | 塔楼'],['859'],"['70,969元/平']",海珠区
['南向三房 户型方正 楼龄新 产权清晰 看房方便'],['世纪云顶雅苑 '],['滨江东'],['3室2厅 | 111.67平米 | 南 | 简装 | 低楼层(共33层) | 2009年 | 塔楼'],['703'],"['62,954元/平']",海珠区
['东南向3房带主套 小区里面安静  过五年一套物业税费少'],['泓景花园 '],['赤岗'],['3室2厅 | 126.46平米 | 南 | 其他 | 低楼层(共32层) | 2007年 | 塔楼'],['1060'],"['83,821元/平']",海珠区
['佳信花园二期    07年楼龄 高层可望广州塔'],['佳信花园 '],['赤岗'],['3室1厅 | 118.88平米 | 北 | 简装 | 中楼层(共30层) | 2007年 | 塔楼'],['820'],"['68,978元/平']",海珠区
['此房是佳信必看的好户型，采光好，诚意卖'],['佳信花园 '],['赤岗'],['3室2厅 | 119.14平米 | 东北 | 精装 | 中楼层(共28层) | 2007年 | 塔楼'],['830'],"['69,666元/平']",海珠区
['满五唯一，诚意度满分好房，南北对流大三房改善优先'],['罗马家园 '],['沥滘'],['3室1厅 | 128.85平米 | 南 北 | 简装 | 低楼层(共12层) | 2006年 | 塔楼'],['480'],"['37,253元/平']",海珠区
['泓景蕞笋房源 业主诚意础 税费抵'],['泓景花园 '],['赤岗'],['3室2厅 | 113.96平米 | 南 | 精装 | 11层 | 2006年 | 板楼'],['955'],"['83,802元/平']",海珠区
['罗马家园大园区高层南北对流三房满五唯一'],['罗马家园 '],['沥滘'],['3室2厅 | 128.03平米 | 北 南 | 其他 | 高楼层(共18层) | 2007年 | 塔楼'],['518'],"['40,460元/平']",海珠区
['罗马家园 3室2厅 南 北'],['罗马家园 '],['沥滘'],['3室2厅 | 128.8平米 | 南 北 | 其他 | 低楼层(共13层) | 2007年 | 塔楼'],['675'],"['52,407元/平']",海珠区
['罗马家园实用方正户型，南北向采光好，视野好'],['罗马家园 '],['沥滘'],['3室2厅 | 128.85平米 | 南 北 | 其他 | 中楼层(共12层) | 2007年 | 塔楼'],['520'],"['40,358元/平']",海珠区
['南向单边 大三房  南北对流 视野采光好 景观靓'],['珠江帝景苑 '],['滨江东'],['3室2厅 | 126.62平米 | 南 | 其他 | 中楼层(共13层) | 2002年 | 塔楼'],['1250'],"['98,721元/平']",海珠区
['广东第二师范学院原装电梯 校园环境管理好 客村地铁口'],['广东教育学院 '],['客村'],['3室2厅 | 111.19平米 | 北 | 精装 | 低楼层(共12层) | 2000年 | 塔楼'],['700'],"['62,956元/平']",海珠区
['次新高层南向大3房！私密主人房大阳台！'],['世纪云顶雅苑 '],['滨江东'],['3室2厅 | 123.82平米 | 西南 | 简装 | 中楼层(共32层) | 2009年 | 塔楼'],['890'],"['71,879元/平']",海珠区
['罗马家园南北向三房，楼龄新，采光好，视野好'],['罗马家园 '],['沥滘'],['3室2厅 | 128.03平米 | 南 北 | 其他 | 高楼层(共18层) | 2007年 | 塔楼'],['528'],"['41,241元/平']",海珠区
['业主自住 看房方便 户型方正实用 高层视野开阔'],['罗马家园 '],['沥滘'],['3室1厅 | 128.03平米 | 南 北 | 其他 | 高楼层(共18层) | 2007年 | 塔楼'],['466'],"['36,398元/平']",海珠区
['世纪云顶 景观好 交通方便 户型方正 通风采光好'],['世纪云顶雅苑 '],['滨江东'],['3室2厅 | 111.78平米 | 东 | 其他 | 低楼层(共32层) | 2009年 | 塔楼'],['698'],"['62,445元/平']",海珠区
['满五不唯一，在客村地铁站，交通方便，户型方正。'],['丽影华庭C区 '],['客村'],['3室2厅 | 123.4平米 | 南 | 精装 | 高楼层(共26层) | 2012年 | 塔楼'],['700'],"['56,727元/平']",海珠区
['客村地铁口 校园环境 封闭管理原装电梯三房 采光好'],['广东教育学院 '],['客村'],['3室2厅 | 116.8平米 | 西 北 | 其他 | 中楼层(共12层)  | 塔楼'],['690'],"['59,076元/平']",海珠区
['罗马家园此房南北对流 安静前后望花园  采光通风好'],['罗马家园 '],['沥滘'],['3室1厅 | 129.07平米 | 南 | 其他 | 中楼层(共13层) | 2007年 | 塔楼'],['620'],"['48,036元/平']",海珠区
['佳信花园 3室2厅 南'],['佳信花园 '],['赤岗'],['3室2厅 | 129.72平米 | 南 | 精装 | 中楼层(共28层) | 2007年 | 塔楼'],['950'],"['73,235元/平']",海珠区
['高层南向3房，双地铁物业，两站珠江新城、琶洲电商'],['影城花园 '],['客村'],['3室1厅 | 126.11平米 | 南 | 简装 | 中楼层(共27层) | 2003年 | 塔楼'],['440'],"['34,891元/平']",海珠区
['大园区南北向，厅出阳台精致三房'],['罗马家园 '],['沥滘'],['3室2厅 | 128.03平米 | 南 北 | 其他 | 低楼层(共18层) | 2007年 | 塔楼'],['498'],"['38,898元/平']",海珠区
['此房南北对流 安静前后望花园 采光通风好'],['罗马家园 '],['沥滘'],['3室2厅 | 129.07平米 | 南 | 其他 | 中楼层(共13层) | 2007年 | 塔楼'],['495'],"['38,352元/平']",海珠区
['低密度电梯小区 三馆一园+中轴线+大草原 烧烤有天台'],['翠园 '],['客村'],['3室2厅 | 110.47平米 | 南 | 精装 | 高楼层(共9层) | 2001年 | 塔楼'],['690'],"['62,461元/平']",海珠区
['愉景南苑 三房带主套，视野开阔 户型方正实用'],['愉景南苑 '],['新港西'],['3室2厅 | 112.83平米 | 南 北 | 精装 | 中楼层(共18层) | 2004年 | 塔楼'],['795'],"['70,460元/平']",海珠区
['户型方正，厅出阳台 采光通风好，商圈成熟'],['泊雅湾 '],['滨江东'],['3室2厅 | 112.71平米 | 东北 | 简装 | 低楼层(共18层) | 2008年 | 塔楼'],['880'],"['78,077元/平']",海珠区
['双地铁 正南向 高楼层非顶楼 采光通风好'],['影城花园 '],['客村'],['3室2厅 | 126.11平米 | 北 | 精装 | 高楼层(共27层) | 2003年 | 塔楼'],['450'],"['35,684元/平']",海珠区
['业主诚意放卖 产权满五年 高层视野好，采光好'],['罗马家园 '],['沥滘'],['3室2厅 | 127.19平米 | 西 | 其他 | 低楼层(共28层) | 2007年 | 塔楼'],['465'],"['36,560元/平']",海珠区
['泓景花园 3房1厅2卫 户型方正 房子过五年'],['泓景花园 '],['赤岗'],['3室1厅 | 113.96平米 | 北 | 其他 | 11层 | 2006年 | 板楼'],['880'],"['77,221元/平']",海珠区
['业主诚意放卖广州塔旁南北对流满五唯一省税'],['新鸿花园二期 '],['滨江东'],['3室2厅 | 123.64平米 | 西南 | 简装 | 中楼层(共15层) | 1997年 | 塔楼'],['628'],"['50,793元/平']",海珠区
['琶洲会展西 电商总部 南向 大3房2卫 单边位'],['泓景花园 '],['赤岗'],['3室2厅 | 122.64平米 | 南 | 简装 | 低楼层(共32层) | 2007年 | 塔楼'],['950'],"['77,463元/平']",海珠区
['地铁鹭江站 电梯南向三房 安静望花园 户型方正'],['愉景南苑 '],['新港西'],['3室2厅 | 117.78平米 | 南 | 精装 | 低楼层(共18层) | 2002年 | 塔楼'],['650'],"['55,188元/平']",海珠区
['索丽苑 3室1厅 东 东南 南'],['索丽苑 '],['赤岗'],['3室1厅 | 129.99平米 | 东 东南 南 | 精装 | 低楼层(共9层) | 1995年 | 塔楼'],['480'],"['36,926元/平']",海珠区
['东南向三房两卫 高层望花园 证过五年 随时可以看房'],['愉景南苑 '],['新港西'],['3室2厅 | 113.67平米 | 东南 | 简装 | 高楼层(共12层) | 2002年 | 塔楼'],['750'],"['65,981元/平']",海珠区
['珠江帝景苑 3室2厅 北'],['珠江帝景苑 '],['滨江东'],['3室2厅 | 125.46平米 | 北 | 精装 | 高楼层(共13层) | 2005年 | 塔楼'],['950'],"['75,722元/平']",海珠区
['平视小区远景 仰望广州塔  美术馆 景观好'],['泓景花园 '],['赤岗'],['3室2厅 | 110.13平米 | 北 | 精装 | 中楼层(共28层) | 2007年 | 塔楼'],['990'],"['89,894元/平']",海珠区
['高层南向看花园 无抵押 视野开阔 看中可以沟通'],['泓景花园 '],['赤岗'],['3室2厅 | 126.47平米 | 南 | 简装 | 高楼层(共32层) | 2007年 | 塔楼'],['1180'],"['93,303元/平']",海珠区
['泓景花园 东南单边  南北对流 视野开阔'],['泓景花园 '],['赤岗'],['3室2厅 | 126.47平米 | 东南 南 | 精装 | 低楼层(共32层) | 2007年 | 塔楼'],['999'],"['78,992元/平']",海珠区
