标题,小区,地区,房源信息,总价,单价,所在区
['花果山地铁  秀外书院  大三房'],['南华苑 '],['旧区'],['3室2厅 | 118.78平米 | 南 | 简装 | 中楼层(共8层) | 2003年 | 塔楼'],['97'],"['8,167元/平']",花都区
['益登华庭 三房两卫 南北对流中楼层 户型方正'],['益登华庭 '],['狮岭镇'],['3室2厅 | 121.16平米 | 南 北 | 精装 | 低楼层(共12层) | 2008年 | 塔楼'],['93'],"['7,676元/平']",花都区
['花都湖旁，秀全公园隔离，有小区。'],['顺景楼(花城路) '],['旧区'],['3室2厅 | 112.81平米 | 南 | 其他 | 高楼层(共7层) | 1996年 | 平房'],['58'],"['5,142元/平']",花都区
['勤天一品树院 3室1厅 南'],['勤天一品树院 '],['狮岭镇'],['3室1厅 | 128.06平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据'],['100'],"['7,809元/平']",花都区
['峰境园温馨三房格局方正望花园采光好'],['峰境园 '],['北兴镇'],['3室2厅 | 117.48平米 | 北 | 简装 | 低楼层(共28层) | 2010年 | 塔楼'],['69'],"['5,874元/平']",花都区
['华南苑小区  大3房2卫设计 南北通透'],['华南苑 '],['旧区'],['3室2厅 | 114.12平米 | 南 北 | 精装 | 中楼层(共9层)  | 塔楼'],['88'],"['7,712元/平']",花都区
['南北对流  采光好 户型方正   配套设施齐全'],['自来水公司宿舍 '],['旧区'],['3室2厅 | 112.35平米 | 南 | 其他 | 高楼层(共9层)  | 塔楼'],['90'],"['8,011元/平']",花都区
"['广州北站地铁口大三房，成熟社区,配套齐全.，南北对流']",['中新花园 '],['铁路西'],['3室2厅 | 111.57平米 | 南 | 其他 | 高楼层(共8层) | 1995年 | 塔楼'],['89'],"['7,978元/平']",花都区
['广州北百合雅居中高楼层南北对流三房望花园'],['百合雅居 '],['狮岭镇'],['3室2厅 | 119.84平米 | 南 | 毛坯 | 高楼层(共11层) | 2012年 | 塔楼'],['92'],"['7,677元/平']",花都区
"['广州北站地铁口大三房，成熟社区,配套齐全.，南北对流']",['中新花园 '],['铁路西'],['3室2厅 | 111.57平米 | 南 | 其他 | 高楼层(共8层) | 2001年 | 塔楼'],['90'],"['8,067元/平']",花都区
['一梯两户，对流通透，格局方正。'],['南航碧花园D区 '],['狮岭镇'],['3室2厅 | 129.78平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼'],['90'],"['6,935元/平']",花都区
['10多米的品牌家私家电 还有带充电桩的车位 拎包入住'],['颐和盛世 '],['炭步'],['3室2厅 | 110.24平米 | 南 | 毛坯 | 高楼层(共25层) | 2011年 | 塔楼'],['82'],"['7,439元/平']",花都区
['颐和山庄电梯洋房   全新未住，环境优美'],['花都颐和山庄 '],['狮岭镇'],['3室1厅 | 113.27平米 | 东 | 其他 | 中楼层(共9层)  | 塔楼'],['68'],"['6,004元/平']",花都区
['好美华庭 毛坯3房 户型方正 交通便利'],['好美嘉园好美华庭 '],['炭步'],['3室2厅 | 129.72平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼'],['99'],"['7,632元/平']",花都区
['距离广州北站地铁A出口步行500米。'],['中新花园 '],['铁路西'],['3室2厅 | 111.57平米 | 南 | 简装 | 中楼层(共8层) | 1995年 | 塔楼'],['90'],"['8,067元/平']",花都区
['市政小区 3室2厅 西'],['市政小区 '],['旧区'],['3室2厅 | 117.34平米 | 西 | 简装 | 高楼层(共9层)  | 暂无数据'],['80'],"['6,818元/平']",花都区
['满五唯一，交通便利，配套成熟，小区中间楼层'],['花城路 '],['旧区'],['3室2厅 | 110.59平米 | 南 | 其他 | 中楼层(共9层)  | 板楼'],['85'],"['7,687元/平']",花都区
