标题,小区,地区,房源信息,总价,单价,所在区
['城市花园 望泳池大三房 采光通风好 视野开阔'],['万科城市花园 '],['文冲'],['3室2厅 | 111.49平米 | 南 | 简装 | 低楼层(共18层) | 2003年 | 塔楼'],['329'],"['29,510元/平']",黄埔区
['东城华庭  南向 电梯大三房  视野不错 地铁五号线'],['泰景花园东城华庭 '],['黄埔区府'],['3室2厅 | 121平米 | 南 | 精装 | 低楼层(共31层) | 2014年 | 塔楼'],['428'],"['35,372元/平']",黄埔区
['楼下就是步行街，配套齐全，方便看房。'],['保税广场 '],['开发西区'],['3室2厅 | 120平米 | 南 | 其他 | 中楼层(共9层)  | 塔楼'],['330'],"['27,500元/平']",黄埔区
['悦时代满五年唯一，地铁口刚需三房，高楼层视野开阔'],['悦时代花园心悦湾 '],['文冲'],['3室1厅 | 121.3平米 | 南 | 精装 | 高楼层(共33层) | 2013年 | 塔楼'],['660'],"['54,411元/平']",黄埔区
['金碧领秀中高层大三房，视野开阔  装修保养好'],['金碧领秀国际 '],['黄埔区府'],['3室2厅 | 110.51平米 | 东北 | 精装 | 高楼层(共33层) | 2007年 | 塔楼'],['350'],"['31,672元/平']",黄埔区
['东苑小区120平三房 景观视野好 公园旁 双阳台大房大厅'],['东苑小区 '],['大沙地'],['3室1厅 | 120.47平米 | 西南 | 精装 | 中楼层(共17层) | 2000年 | 塔楼'],['375'],"['31,129元/平']",黄埔区
['丰逸尚居5号线 中高层满五唯一 南北对流户型好有车位'],['丰逸尚居 '],['文冲'],['3室2厅 | 111.18平米 | 南 北 | 其他 | 中楼层(共29层) | 2012年 | 塔楼'],['355'],"['31,931元/平']",黄埔区
['户型方正，楼龄新，采光好，视野好，全新装修保养好'],['天伦东时区 '],['黄埔区府'],['3室1厅 | 123.26平米 | 南 | 简装 | 低楼层(共18层) | 2009年 | 塔楼'],['500'],"['40,565元/平']",黄埔区
['保利鱼珠港 中高层 江景房 复式两层'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 122.84平米 | 东南 | 精装 | 高楼层(共21层)  | 塔楼'],['485'],"['39,483元/平']",黄埔区
['银丰花园    精装大三房  户型方正实用   交通便利'],['银丰花园 '],['黄埔区府'],['3室2厅 | 119.19平米 | 东 南 北 | 精装 | 中楼层(共9层) | 1999年 | 塔楼'],['330'],"['27,687元/平']",黄埔区
['精装修采光充足，工作、生活便利'],['青年路 '],['开发西区'],['3室2厅 | 110.15平米 | 西 | 精装 | 中楼层(共8层)  | 暂无数据'],['210'],"['19,065元/平']",黄埔区
['青年路东兴楼、电梯加装中、南北对流！'],['青年路东兴楼 '],['开发西区'],['3室2厅 | 112.29平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼'],['198'],"['17,633元/平']",黄埔区
['东南向安静不吵，配套齐，楼下就是地铁口'],['萝岗明珠广场 '],['开发西区'],['3室1厅 | 110.19平米 | 东南 | 其他 | 高楼层(共21层) | 1999年 | 塔楼'],['220'],"['19,966元/平']",黄埔区
['格局方正 采光通风好 视野开阔'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 122.84平米 | 东南 | 精装 | 低楼层(共21层)  | 塔楼'],['486'],"['39,564元/平']",黄埔区
['黄埔新村 五七双地铁 电梯大3房'],['黄埔新村一期 '],['黄埔区府'],['3室2厅 | 114.54平米 | 南 | 简装 | 中楼层(共9层) | 1997年 | 塔楼'],['280'],"['24,446元/平']",黄埔区
['广州开发区西区、南向望公园，房源保养好！'],['青年路 '],['开发西区'],['3室2厅 | 114.44平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼'],['290'],"['25,341元/平']",黄埔区
['满五唯一，业主说花了50个装修的，'],['雍翠雅园 '],['开发西区'],['3室2厅 | 112.18平米 | 北 | 精装 | 低楼层(共22层) | 2006年 | 塔楼'],['330'],"['29,418元/平']",黄埔区
['三溪地铁口高层一线江景 可以看到广州塔业主诚心卖'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 123.64平米 | 西 | 精装 | 中楼层(共21层)  | 塔楼'],['600'],"['48,528元/平']",黄埔区
['高层望珠江 视野开阔 产权清晰 业主诚心放卖'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 117.75平米 | 西 | 其他 | 高楼层(共21层)  | 塔楼'],['678'],"['57,580元/平']",黄埔区
['保利鱼珠港 复式三房 东向望花园'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 122.84平米 | 东 | 精装 | 低楼层(共21层)  | 塔楼'],['430'],"['35,005元/平']",黄埔区
['开发区少有电梯小区，电梯三房！'],['雍翠雅园 '],['开发西区'],['3室2厅 | 112.18平米 | 北 | 其他 | 低楼层(共22层) | 2006年 | 塔楼'],['228'],"['20,325元/平']",黄埔区
['保利鱼珠港 高层望江景观好 业主诚心放卖'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 111.39平米 | 东 | 精装 | 高楼层(共21层)  | 塔楼'],['430'],"['38,604元/平']",黄埔区
['五号线延线已开通直达天河，好的jiao育'],['君合雅居 '],['开发西区'],['3室2厅 | 110.92平米 | 北 | 其他 | 高楼层(共15层) | 2010年 | 塔楼'],['210'],"['18,933元/平']",黄埔区
['地铁5，7号线大3房可看江黄埔实校及黄埔纪中'],['中鼎君和名城 '],['黄埔区府'],['3室2厅 | 125.14平米 | 南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['556'],"['44,431元/平']",黄埔区
['小区园林绿化，配套成熟  精装三房二卫'],['万科城市花园 '],['文冲'],['3室2厅 | 111.86平米 | 东南 | 精装 | 中楼层(共11层) | 2003年 | 塔楼'],['350'],"['31,290元/平']",黄埔区
['：格局方正 采光通风好 视野开阔'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 122.89平米 | 南 | 其他 | 低楼层(共21层)  | 塔楼'],['420'],"['34,177元/平']",黄埔区
