标题,小区,地区,房源信息,总价,单价,所在区
['中山八路 次新小区 精装三房两卫'],['荔泰居 '],['中山八'],['3室1厅 | 114.68平米 | 南 | 其他 | 中楼层(共9层) | 1999年 | 塔楼'],['280'],"['24,416元/平']",荔湾区
['荔港南湾 南向三房 装修保养好'],['城启荔港南湾 '],['南岸路'],['3室2厅 | 119.19平米 | 东南 | 其他 | 中楼层(共32层) | 2008年 | 塔楼'],['460'],"['38,594元/平']",荔湾区
['东浚荔景苑精装修大三房 中楼层 直接可以拎包入住'],['东浚荔景苑 '],['中山八'],['3室2厅 | 112.57平米 | 西北 | 精装 | 中楼层(共34层) | 1998年 | 塔楼'],['408'],"['36,245元/平']",荔湾区
['林业厅单位楼，大院管理24小时安保，专梯专户南北对流'],['中山七路 '],['龙津'],['3室2厅 | 129.91平米 | 东南 南 | 精装 | 低楼层(共9层)  | 塔楼'],['355'],"['27,327元/平']",荔湾区
['西关海三期  精装实用3房  视野开阔'],['西关海 '],['南岸路'],['3室2厅 | 122.65平米 | 东北 | 精装 | 中楼层(共44层) | 2018年 | 塔楼'],['735'],"['59,927元/平']",荔湾区
['凯粤湾大三房  望花园 光线佳 方便看房'],['新世界凯粤湾 '],['滘口'],['3室1厅 | 124.66平米 | 北 东北 | 精装 | 低楼层(共33层) | 2018年 | 塔楼'],['538'],"['43,158元/平']",荔湾区
['悦江上品苑实用3房，视野开阔无遮挡'],['悦江上品苑 '],['大坦沙'],['3室1厅 | 116.75平米 | 南 西南 | 其他 | 中楼层(共26层) | 2016年 | 塔楼'],['640'],"['54,818元/平']",荔湾区
['三房两卫，户型方正，装修保养好，望园林安静舒适'],['新世界凯粤湾 '],['滘口'],['3室2厅 | 124.94平米 | 西北 | 其他 | 高楼层(共33层) | 2018年 | 塔楼'],['520'],"['41,620元/平']",荔湾区
['新世界凯粤湾 三房两卫 南向视野开阔  产权清晰'],['新世界凯粤湾 '],['滘口'],['3室2厅 | 111.59平米 | 西南 | 精装 | 中楼层(共33层) | 2019年 | 塔楼'],['490'],"['43,911元/平']",荔湾区
['新世界凯粤湾 江景住宅 产权清晰 满五年不唯一'],['新世界凯粤湾 '],['滘口'],['3室2厅 | 122.48平米 | 西南 | 精装 | 高楼层(共20层) | 2017年 | 塔楼'],['528'],"['43,110元/平']",荔湾区
['司法大厦 中层 三房近大型荔湾湖公园'],['司法大厦 '],['西关'],['3室2厅 | 113.82平米 | 东南 | 简装 | 高楼层(共24层) | 1998年 | 塔楼'],['408'],"['35,847元/平']",荔湾区
['南向通风采光好，无遮挡视野开阔。单边位    5/6号线'],['花语水岸 '],['大坦沙'],['3室2厅 | 111.68平米 | 南 北 | 精装 | 高楼层(共26层) | 2015年 | 塔楼'],['610'],"['54,621元/平']",荔湾区
['南向三房带储物间，低密度，采光好，配套成熟'],['富力广场北区 '],['中山八'],['3室2厅 | 112.74平米 | 南 北 | 其他 | 中楼层(共28层) | 2005年 | 塔楼'],['630'],"['55,881元/平']",荔湾区
['湖畔而居，老西关配套，户型方正合理'],['司法大厦 '],['西关'],['3室2厅 | 126.8平米 | 西南 | 简装 | 高楼层(共24层) | 1998年 | 塔楼'],['560'],"['44,165元/平']",荔湾区
