标题,小区,地区,房源信息,总价,单价,所在区
['裕兴花园中楼层，三房两卫，南北对流，全屋新装修'],['南沙裕兴花园 '],['进港大道'],['3室2厅 | 115.3平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼'],['69'],"['5,985元/平']",南沙区
['裕兴大三房，中间楼层南北对流，自住保养好'],['南沙裕兴花园 '],['进港大道'],['3室2厅 | 111.52平米 | 南 | 简装 | 中楼层(共8层) | 1998年 | 板楼'],['98'],"['8,788元/平']",南沙区
['进港大道旁的电梯大三房，毛坯房随心意装修'],['海棠花园(南沙) '],['进港大道'],['3室2厅 | 119.47平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板塔结合'],['90'],"['7,534元/平']",南沙区
['尖沙咀一期3房，步梯低楼层，随时可约看房'],['尖沙咀花园一期 '],['大岗镇'],['3室1厅 | 111.6平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据'],['85'],"['7,617元/平']",南沙区
['电梯大三房，南向，小区全新升级'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 122平米 | 西南 | 其他 | 中楼层(共12层) | 1999年 | 塔楼'],['85'],"['6,968元/平']",南沙区
['电梯洋房，南向，大三房！业主变现放'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 126.1平米 | 西南 | 简装 | 中楼层(共12层) | 1999年 | 塔楼'],['96'],"['7,614元/平']",南沙区
['南沙进港大道旁三房两卫诚意出*'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 126.2平米 | 北 | 毛坯 | 高楼层(共12层) | 1999年 | 塔楼'],['99'],"['7,845元/平']",南沙区
['金洲中轴，明珠花园三房两卫，业主急卖，证过五税费少'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 126.14平米 | 东北 | 精装 | 中楼层(共12层)  | 塔楼'],['97'],"['7,690元/平']",南沙区
['进港大道明珠花园东南向大三房小区生活便利'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 122平米 | 东南 | 简装 | 中楼层(共12层) | 1999年 | 塔楼'],['98.5'],"['8,074元/平']",南沙区
['此房满五唯一 税费低 业主产权清晰 交易简单'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 122平米 | 西南 | 精装 | 高楼层(共12层) | 1999年 | 塔楼'],['95'],"['7,787元/平']",南沙区
['南沙明珠花园  简单装修  中高楼层 满五年看房约'],['明珠花园(南沙区) '],['金洲'],['3室1厅 | 122平米 | 东南 | 简装 | 高楼层(共12层) | 1999年 | 塔楼'],['85'],"['6,968元/平']",南沙区
['大岗灵山大3房，带主卫， 步梯中层，业主诚意放卖'],['环城北路 '],['大岗镇'],['3室2厅 | 119.2平米 | 东南 | 其他 | 中楼层(共7层)  | 板塔结合'],['87'],"['7,299元/平']",南沙区
['南向大三房，精装修保养好，中高楼层通风采光靓'],['海棠花园(南沙) '],['进港大道'],['3室2厅 | 115.48平米 | 东南 | 精装 | 高楼层(共13层) | 2000年 | 板塔结合'],['100'],"['8,660元/平']",南沙区
['南沙自贸区，近广中江高速，2022年收楼'],['聚豪新村 '],['大岗镇'],['3室2厅 | 123.96平米 | 西南 | 简装 | 高楼层(共25层)  | 暂无数据'],['95'],"['7,664元/平']",南沙区
['裕兴花园过二税费低，刚需首付少，自住合适'],['南沙裕兴花园 '],['进港大道'],['3室2厅 | 111.55平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼'],['98'],"['8,786元/平']",南沙区
['海棠花园大3房 满五税费低 生活方便 进执信'],['海棠花园(南沙) '],['进港大道'],['3室2厅 | 115.48平米 | 西北 | 简装 | 中楼层(共13层) | 2000年 | 板塔结合'],['95'],"['8,227元/平']",南沙区
['大岗镇便宜房源地段好配套好齐全一步到位'],['豪晖大厦 '],['大岗镇'],['3室1厅 | 118.32平米 | 东南 | 简装 | 高楼层(共8层)  | 塔楼'],['72'],"['6,086元/平']",南沙区
['新政首付只要1.5成可选南沙@@自@@@贸@@@区房产'],['瑞华苑 '],['大岗镇'],['3室2厅 | 110.9平米 | 东南 | 其他 | 高楼层(共7层)  | 板塔结合'],['70'],"['6,312元/平']",南沙区
['南沙自贸区进港大道南向三房诚意转让'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 126.1平米 | 南 | 精装 | 低楼层(共12层)  | 塔楼'],['100'],"['7,931元/平']",南沙区
['裕兴花园满五唯一，装修保养好，笋笋笋'],['南沙裕兴花园 '],['进港大道'],['3室2厅 | 112.58平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼'],['86'],"['7,640元/平']",南沙区
['楼层好，视野开阔，采光足，犹如一个园林式小区'],['岗城大厦 '],['大岗镇'],['3室2厅 | 114.3平米 | 东北 | 简装 | 高楼层(共8层)  | 平房'],['80'],"['7,000元/平']",南沙区
['新政首付只要1.5成可选南沙@@自@@@贸@@@区房产'],['瑞华苑 '],['大岗镇'],['3室1厅 | 110.9平米 | 东南 | 其他 | 高楼层(共7层) | 2000年 | 板塔结合'],['98'],"['8,837元/平']",南沙区
['海棠花园 电梯 精装大三房 高层'],['海棠花园(南沙) '],['进港大道'],['3室2厅 | 115.48平米 | 南 | 其他 | 中楼层(共13层) | 2000年 | 板塔结合'],['100'],"['8,660元/平']",南沙区
['豪岗社区实用3房，通风采光好业主置换新房，诚意邀你'],['丽雅明苑大厦 '],['大岗镇'],['3室2厅 | 111.5平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据'],['100'],"['8,969元/平']",南沙区
['对流户型，双阳台，温馨三房  随时入住'],['南沙裕兴花园 '],['进港大道'],['3室2厅 | 116.6平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼'],['79'],"['6,776元/平']",南沙区
['金州区域少有低首付内房源，看中可谈'],['南沙裕兴花园 '],['进港大道'],['3室2厅 | 111.55平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼'],['77.7'],"['6,966元/平']",南沙区
['朝南，总忦低，交通便利，生活方便。好地段'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 122平米 | 南 | 精装 | 低楼层(共12层) | 1999年 | 塔楼'],['95'],"['7,787元/平']",南沙区
['此房满五 业主产权清晰 交易简单 楼层好 可拎包入住'],['明珠花园(南沙区) '],['金洲'],['3室2厅 | 123.6平米 | 南 北 | 简装 | 中楼层(共12层) | 1999年 | 塔楼'],['92'],"['7,444元/平']",南沙区
['地铁口低密度舒适社区3+1房 户型方正 采光通风好'],['南沙湾东苑 '],['南沙港'],['3室2厅 | 116平米 | 东 | 其他 | 高楼层(共26层) | 2018年 | 板塔结合'],['210'],"['18,104元/平']",南沙区
['高阳台望出去双湖景，契税发票下月满五唯一'],['叠翠峰 '],['南沙区府'],['3室2厅 | 110.44平米 | 南 | 精装 | 高楼层(共31层) | 2017年 | 板楼'],['210'],"['19,015元/平']",南沙区
['南沙云山诗意 保养好 看花园 安静舒适 业主急卖'],['南沙云山诗意 '],['金洲'],['3室2厅 | 112.8平米 | 南 | 精装 | 低楼层(共28层) | 2014年 | 塔楼'],['200'],"['17,731元/平']",南沙区
['府前花园  满五唯一   大三房  采光视野好'],['万科府前一号 '],['南沙区府'],['3室1厅 | 121.72平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼'],['239'],"['19,636元/平']",南沙区
['高阳台望出去双湖景，契税发票下月满五唯一'],['叠翠峰 '],['南沙区府'],['3室2厅 | 110.44平米 | 南 | 精装 | 高楼层(共31层) | 2017年 | 板楼'],['210'],"['19,015元/平']",南沙区
['碧桂园海湾1号 南北对流 精装修'],['碧桂园海湾1号 '],['南沙港'],['3室2厅 | 111.52平米 | 北 南 | 精装 | 高楼层(共32层)  | 塔楼'],['192'],"['17,217元/平']",南沙区
['滨海悦城户型方正业主诚意卖带车位'],['越秀滨海悦城 '],['金洲'],['3室1厅 | 117.13平米 | 南 | 其他 | 低楼层(共31层)  | 塔楼'],['230'],"['19,637元/平']",南沙区
['南沙广外附属旁 越秀滨海珺城 南北对流大三房满五唯一'],['越秀滨海珺城 '],['明珠湾'],['3室1厅 | 126.46平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼'],['205'],"['16,211元/平']",南沙区
['滨海珺城 南向三房 高层一线望江 安静视野无遮挡。。'],['越秀滨海珺城 '],['明珠湾'],['3室1厅 | 120.15平米 | 南 | 精装 | 高楼层(共23层) | 2015年 | 塔楼'],['248'],"['20,641元/平']",南沙区
['悦海南北双阳台，毛坯大3+1房，随时可以看房'],['优山悦海 '],['南沙港'],['3室2厅 | 121.55平米 | 东南 东北 | 其他 | 高楼层(共18层) | 2013年 | 塔楼'],['156'],"['12,835元/平']",南沙区
['中惠璧珑湾 3室2厅 东南'],['中惠璧珑湾 '],['南沙区府'],['3室2厅 | 119.26平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合'],['210'],"['17,609元/平']",南沙区
['执信旁 三房两卫 长岛看山景 诚心卖'],['时代长岛 '],['进港大道'],['3室2厅 | 124.21平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼'],['155'],"['12,479元/平']",南沙区
['进港大道海力花园标准大三房保养好过五唯一'],['海力花园 '],['进港大道'],['3室2厅 | 112.45平米 | 东北 | 精装 | 中楼层(共11层) | 2012年 | 塔楼'],['135'],"['12,006元/平']",南沙区
['精装，南北对流，过五唯一少税，阳台看花园安静'],['广晟海韵兰庭 '],['进港大道'],['3室1厅 | 119.79平米 | 西南 | 精装 | 低楼层(共18层) | 2012年 | 塔楼'],['145'],"['12,105元/平']",南沙区
['创鸿嘉园，望河温馨大三房，随时看房'],['创鸿嘉园 '],['金洲'],['3室2厅 | 120平米 | 南 | 其他 | 低楼层(共31层) | 2013年 | 塔楼'],['183'],"['15,250元/平']",南沙区
['悦城3房，过五，户型方正，楼层采光都不错'],['越秀滨海悦城 '],['金洲'],['3室1厅 | 117.13平米 | 南 北 | 毛坯 | 高楼层(共31层) | 2013年 | 塔楼'],['210'],"['17,929元/平']",南沙区
['滨海隽城 南北对流户型 通风好 业主诚心出'],['越秀滨海隽城 '],['金洲'],['3室2厅 | 117.24平米 | 南 北 | 精装 | 低楼层(共18层) | 2012年 | 塔楼'],['180'],"['15,354元/平']",南沙区
['叠翠峰高层凤举湖景房，证满两年保养好。'],['叠翠峰 '],['南沙区府'],['3室2厅 | 110.4平米 | 南 | 精装 | 高楼层(共31层) | 2017年 | 板楼'],['236'],"['21,377元/平']",南沙区
['隽城3房，户型方正，保养好，过五'],['越秀滨海隽城 '],['金洲'],['3室2厅 | 123.71平米 | 南 | 精装 | 中楼层(共18层) | 2012年 | 塔楼'],['208'],"['16,814元/平']",南沙区
['南北通透采光通风好，配套齐全，交通便利'],['越秀滨海珺城 '],['明珠湾'],['3室2厅 | 125.14平米 | 南 北 | 精装 | 中楼层(共23层)  | 塔楼'],['230'],"['18,380元/平']",南沙区
['安静舒适， 南向看园林视安静舒适， 南向看园林'],['富力伯爵山 '],['南沙港'],['3室2厅 | 114.99平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼'],['199'],"['17,306元/平']",南沙区
['成熟小区，配套设施齐全，业主诚心卖'],['南沙境界 '],['黄阁'],['3室2厅 | 120.84平米 | 东南 | 其他 | 高楼层(共17层) | 2007年 | 塔楼'],['205'],"['16,965元/平']",南沙区
['低楼层精装大三室 看房方便..'],['南沙珠江湾 '],['南沙湾'],['3室2厅 | 118.89平米 | 南 | 其他 | 低楼层(共26层) | 2015年 | 板塔结合'],['180'],"['15,141元/平']",南沙区
['优山悦海3房2卫，东南向，户型格局方正，居住舒适，'],['优山悦海 '],['南沙港'],['3室2厅 | 119.52平米 | 北 南 | 其他 | 中楼层(共18层) | 2013年 | 塔楼'],['199'],"['16,650元/平']",南沙区
['珠江边的绿色跑道 满足的滨海生活的愿望'],['南沙珠江湾 '],['南沙湾'],['3室2厅 | 118.9平米 | 南 | 精装 | 中楼层(共32层) | 2015年 | 板塔结合'],['200'],"['16,821元/平']",南沙区
['此房满五，望园林别墅区，安静，看灵山岛尖'],['滨海水晶湾 '],['明珠湾'],['3室2厅 | 113.86平米 | 南 | 精装 | 高楼层(共18层) | 2009年 | 塔楼'],['220'],"['19,322元/平']",南沙区
['南沙珠江湾 3室1厅 南'],['南沙珠江湾 '],['南沙湾'],['3室1厅 | 122.5平米 | 南 | 其他 | 低楼层(共32层) | 2015年 | 板塔结合'],['220'],"['17,960元/平']",南沙区
['越秀滨海隽城 3室2厅 南'],['越秀滨海隽城 '],['金洲'],['3室2厅 | 120.33平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼'],['261'],"['21,691元/平']",南沙区
['南沙金洲板块127方大三房两卫高层采光好低密度小高层'],['海璟奥园 '],['金洲'],['3室2厅 | 127.02平米 | 北 | 精装 | 高楼层(共25层) | 2011年 | 塔楼'],['210'],"['16,533元/平']",南沙区
['精装修采光好，小区安静，产权清晰'],['紫茗花园 '],['进港大道'],['3室1厅 | 112.5平米 | 东南 | 精装 | 高楼层(共17层) | 2013年 | 板塔结合'],['170'],"['15,112元/平']",南沙区
['南北对流格局，直观山林景观，视野开阔'],['南沙境界 '],['黄阁'],['3室2厅 | 118.2平米 | 南 北 | 其他 | 低楼层(共22层) | 2013年 | 板塔结合'],['200'],"['16,921元/平']",南沙区
['南沙珠江湾三房好户型，业主诚意放卖'],['南沙珠江湾 '],['南沙湾'],['3室2厅 | 118.89平米 | 南 | 精装 | 高楼层(共32层) | 2015年 | 板塔结合'],['235'],"['19,767元/平']",南沙区
['一线山景安静，高层视野开阔，南北对流大三房'],['富力伯爵山 '],['南沙港'],['3室2厅 | 114.88平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼'],['150'],"['13,058元/平']",南沙区
['满五地铁口滨海隽城中楼层南向精装三房园林泳池景观'],['越秀滨海隽城 '],['金洲'],['3室2厅 | 116.29平米 | 南 | 精装 | 中楼层(共18层) | 2012年 | 塔楼'],['315'],"['27,088元/平']",南沙区
['龙光棕榈水岸望蕉门河、凤凰湖双景观，户型方正采光好'],['龙光棕榈水岸北区 '],['南沙区府'],['3室2厅 | 112.57平米 | 东南 | 精装 | 高楼层(共17层) | 2014年 | 塔楼'],['239'],"['21,232元/平']",南沙区
['满五唯一，单边位，中楼层视野采光好'],['南沙碧桂园 '],['金洲'],['3室2厅 | 128.85平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合'],['235'],"['18,239元/平']",南沙区
['金洲区域，三房两卫，小区环境优美'],['富佳花园 '],['进港大道'],['3室1厅 | 123.21平米 | 北 | 精装 | 低楼层(共14层)  | 塔楼'],['185'],"['15,016元/平']",南沙区
['户型方正实用 高层园景 大三房'],['珠光南沙御景 '],['金洲'],['3室1厅 | 110.1平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合'],['230'],"['20,891元/平']",南沙区
['龙光棕榈区府大三房 南北对流 通透采光好'],['龙光棕榈水岸北区 '],['南沙区府'],['3室2厅 | 116.7平米 | 南 北 | 精装 | 中楼层(共11层) | 2012年 | 塔楼'],['290'],"['24,851元/平']",南沙区
['南沙珠江湾 精装3室  生活便利'],['南沙珠江湾 '],['南沙湾'],['3室1厅 | 118.91平米 | 南 | 精装 | 低楼层(共26层) | 2015年 | 板塔结合'],['155'],"['13,036元/平']",南沙区
['证过五年唯一 看房方便 望海单位'],['时代南湾 '],['南沙港'],['3室2厅 | 126.19平米 | 东南 南 | 精装 | 低楼层(共32层) | 2015年 | 板塔结合'],['328'],"['25,993元/平']",南沙区
['时代南湾 公园小区 背山面海 精装大三房'],['时代南湾 '],['南沙港'],['3室2厅 | 119.65平米 | 南 | 精装 | 低楼层(共32层) | 2013年 | 板塔结合'],['270'],"['22,566元/平']",南沙区
['安静位置+南北对流+双阳台+自住保养好+地段优'],['越秀滨海隽城 '],['金洲'],['3室2厅 | 116.97平米 | 南 北 | 其他 | 低楼层(共18层) | 2012年 | 塔楼'],['252'],"['21,544元/平']",南沙区
['时代南湾中高层海景湖景三房，满五年保养好业主诚心卖'],['时代南湾 '],['南沙港'],['3室2厅 | 126.2平米 | 东北 | 精装 | 中楼层(共32层) | 2015年 | 板塔结合'],['360'],"['28,527元/平']",南沙区
['南沙珠江湾 南北通透 三房两卫 环境好 舒适宜居'],['南沙珠江湾 '],['南沙湾'],['3室2厅 | 122.37平米 | 南 北 | 其他 | 中楼层(共32层) | 2015年 | 板塔结合'],['240'],"['19,613元/平']",南沙区
['心意华庭 双阳台对流三房 中高楼层'],['南沙心意华庭 '],['金洲'],['3室1厅 | 116.23平米 | 东 西 | 毛坯 | 高楼层(共15层) | 2015年 | 板塔结合'],['165'],"['14,196元/平']",南沙区
['时代南湾精装海景湖景3房 满五年 业主诚意放卖'],['时代南湾 '],['南沙港'],['3室2厅 | 120平米 | 南 | 精装 | 中楼层(共32层) | 2013年 | 板塔结合'],['330'],"['27,500元/平']",南沙区
['成熟商圈，方正，保养很好，视野开阔'],['珠光南沙御景 '],['金洲'],['3室1厅 | 110.14平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合'],['190'],"['17,251元/平']",南沙区
['地铁口华师旁优山悦海南向大三房 户型方正适用'],['优山悦海 '],['南沙港'],['3室2厅 | 129.59平米 | 东南 南 | 毛坯 | 中楼层(共18层) | 2013年 | 塔楼'],['229'],"['17,672元/平']",南沙区
['富力伯爵山，一楼带50平花院，南北对流'],['富力伯爵山 '],['南沙港'],['3室1厅 | 113.78平米 | 东南 南 | 精装 | 低楼层(共11层)  | 塔楼'],['202'],"['17,754元/平']",南沙区
['房子全新未住 看房方便  格局好阳台大'],['碧桂园天玺湾 '],['进港大道'],['3室1厅 | 117.5平米 | 北 | 其他 | 低楼层(共18层) | 2014年 | 板塔结合'],['270'],"['22,979元/平']",南沙区
['南沙珠江湾 南北对流 户型方正，看法方便'],['南沙珠江湾 '],['南沙湾'],['3室2厅 | 118.95平米 | 南 | 精装 | 低楼层(共28层) | 2012年 | 板塔结合'],['250'],"['21,018元/平']",南沙区
['星河山海湾 南北对流大三房 高层东南向 看山看海'],['星河山海湾 '],['南沙港'],['3室1厅 | 125平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼'],['430'],"['34,400元/平']",南沙区
['山海湾 南北对流双阳台 随时可以看房'],['星河山海湾 '],['南沙港'],['3室2厅 | 115.27平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼'],['284'],"['24,638元/平']",南沙区
['时代长岛 高层南向 视野开阔 房产证过5年 税少'],['时代长岛 '],['进港大道'],['3室2厅 | 124.21平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼'],['220'],"['17,712元/平']",南沙区
