标题,小区,地区,房源信息,总价,单价,所在区
['精装南向大三房，近地铁，小区环境好'],['敏捷四季花园 '],['大石'],['3室2厅 | 121.84平米 | 南 | 其他 | 高楼层(共24层)  | 塔楼'],['398'],"['32,666元/平']",番禺区
['丹桂园 3室2厅 南'],['丹桂园 '],['市桥'],['3室2厅 | 116.1平米 | 南 | 简装 | 中楼层(共7层) | 2003年 | 板楼'],['138'],"['11,887元/平']",番禺区
['品牌小区户型优秀电梯高层住宅视野宽阔无遮挡采光充足'],['新月明珠花园 '],['大石'],['3室2厅 | 111.29平米 | 南 | 精装 | 高楼层(共23层) | 2007年 | 塔楼'],['310'],"['27,856元/平']",番禺区
['地铁次新房 满五 精装修 2梯3户小高层 业主诚心放卖'],['东怡新地 '],['东怡新区'],['3室1厅 | 118.16平米 | 南 北 | 精装 | 低楼层(共17层) | 2016年 | 塔楼'],['330'],"['27,929元/平']",番禺区
['东怡新地南向三房中楼层主精装，满五唯一'],['东怡新地 '],['东怡新区'],['3室2厅 | 119.2平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼'],['330'],"['27,685元/平']",番禺区
['店长力推康乐园南向装修保养好过五唯一'],['康乐园 '],['市桥'],['3室2厅 | 118.49平米 | 南 | 简装 | 高楼层(共7层) | 1994年 | 板楼'],['169'],"['14,263元/平']",番禺区
['映月翠庭  电梯中高层   双阳台  南北通'],['映月翠庭 '],['市桥北'],['3室1厅 | 110.68平米 | 东北 | 精装 | 高楼层(共18层) | 2003年 | 板楼'],['248'],"['22,407元/平']",番禺区
['富华花园 地铁口100米 东南向 精装修 可拎包入住'],['富华花园 '],['市桥'],['3室2厅 | 119.6平米 | 东南 | 精装 | 中楼层(共22层) | 1998年 | 塔楼'],['228'],"['19,064元/平']",番禺区
['东裕园南向三房 户型方正 通风采光好 满五唯一税少'],['东怡新区东裕园 '],['东怡新区'],['3室2厅 | 120.6平米 | 南 | 精装 | 高楼层(共7层) | 2000年 | 塔楼'],['200'],"['16,584元/平']",番禺区
['一期中层望小区园景  旺中带静  够五年唯一  看房方便'],['东华花园 '],['市桥东'],['3室2厅 | 110.28平米 | 北 | 简装 | 高楼层(共6层) | 2004年 | 塔楼'],['188'],"['17,048元/平']",番禺区
['南向望花园，中楼层好装修，过五年唯一，采光通风好'],['东海花园 '],['厦滘'],['3室2厅 | 119.17平米 | 南 | 其他 | 中楼层(共23层) | 2003年 | 塔楼'],['360'],"['30,209元/平']",番禺区
['此房满五唯一，户型方正，视野好！'],['富丽家园富昌花园 '],['大石'],['3室2厅 | 119.6平米 | 南 | 简装 | 高楼层(共9层) | 1995年 | 塔楼'],['195'],"['16,305元/平']",番禺区
['地铁300米，钻汇广场、石桥公园、市桥街办、配套完善'],['银苑大厦(番禺) '],['市桥'],['3室2厅 | 111.9平米 | 南 | 简装 | 高楼层(共9层) | 1999年 | 塔楼'],['216'],"['19,303元/平']",番禺区
['东方花园又一居，电梯三房，简洁装修，舒适宜居。'],['东方花园又一居 '],['番禺广场'],['3室2厅 | 124.5平米 | 南 | 其他 | 低楼层(共16层) | 2000年 | 塔楼'],['330'],"['26,507元/平']",番禺区
['禺华园 户型方正 保养良好 通风采光 距离地铁口500米'],['禺华园 '],['市桥'],['3室2厅 | 110.01平米 | 东南 | 其他 | 高楼层(共7层) | 1998年 | 塔楼'],['207'],"['18,817元/平']",番禺区
['步梯中层，南向望别墅，视野开阔，过五年免增值税'],['东晖园 '],['市桥'],['3室1厅 | 123.3平米 | 南 | 简装 | 中楼层(共7层) | 1993年 | 塔楼'],['220'],"['17,843元/平']",番禺区
['番禺广场 电梯3房 主套带阳台 德兴（没占用）'],['德兴路(番禺) '],['市桥'],['3室2厅 | 115.2平米 | 东南 | 其他 | 中楼层(共11层)  | 塔楼'],['300'],"['26,042元/平']",番禺区
