标题,小区,地区,房源信息,总价,单价,所在区
['高层南向景观好，满五唯一，全新装修，钥匙方便看房'],['利雅湾 '],['珠江新城中'],['3室2厅 | 129.91平米 | 西南 | 其他 | 高楼层(共29层) | 2004年 | 塔楼'],['2201'],"['169,425元/平']",天河区
['去年100个装修，东南向高层可看小蛮腰，不朝马路安静'],['利雅湾 '],['珠江新城中'],['3室2厅 | 129.98平米 | 东南 | 精装 | 高楼层(共29层) | 2004年 | 塔楼'],['1570'],"['120,788元/平']",天河区
['利雅湾方正户型 景观好 可看广州塔'],['利雅湾 '],['珠江新城中'],['3室1厅 | 129.51平米 | 南 西南 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['1788'],"['138,059元/平']",天河区
['利雅湾高层西南向看广州塔看珠江户型'],['利雅湾 '],['珠江新城中'],['3室2厅 | 129.91平米 | 西南 | 精装 | 高楼层(共29层) | 2004年 | 塔楼'],['2150'],"['165,500元/平']",天河区
['房满五，西南向望小蛮腰、望江，采光好，户型好'],['利雅湾 '],['珠江新城中'],['3室2厅 | 152.32平米 | 西南 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['2020'],"['132,616元/平']",天河区
['保养好、景观可看整个江景、诚心放卖'],['利雅湾 '],['珠江新城中'],['3室1厅 | 152.51平米 | 东南 西南 | 其他 | 高楼层(共29层) | 2004年 | 塔楼'],['2100'],"['137,696元/平']",天河区
['利雅湾 4室2厅 东南'],['利雅湾 '],['珠江新城中'],['4室2厅 | 125.22平米 | 东南 | 其他 | 高楼层(共29层) | 2004年 | 塔楼'],['1500'],"['119,790元/平']",天河区
['珠城中区 可观景珠江 小蛮腰 原始户型大四房 南向单边'],['利雅湾 '],['珠江新城中'],['4室2厅 | 125.14平米 | 西南 | 简装 | 中楼层(共29层) | 2004年 | 塔楼'],['1888'],"['150,872元/平']",天河区
['利雅湾唯一正规四房。业主有心卖，采光很好 户型方正'],['利雅湾 '],['珠江新城中'],['4室2厅 | 125.14平米 | 西南 | 精装 | 低楼层(共29层) | 2004年 | 塔楼'],['1590'],"['127,058元/平']",天河区
['保利心语 3室1厅 北'],['保利心语 '],['珠江新城中'],['3室1厅 | 115.07平米 | 北 | 其他 | 低楼层(共32层) | 2008年 | 塔楼'],['1668'],"['144,956元/平']",天河区
['高楼层看珠江公园景观 小区地段优越'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 127.44平米 | 北 | 其他 | 中楼层(共30层) | 2005年 | 塔楼'],['2500'],"['196,171元/平']",天河区
