标题,小区,地区,房源信息,总价,单价,所在区
['好房此房满五唯一框架结构楼梯三楼无抵押'],['金羊花园 '],['杨箕'],['3室2厅 | 113.11平米 | 东北 | 简装 | 低楼层(共9层) | 2000年 | 塔楼'],['736'],"['65,070元/平']",越秀区
['东堤湾 铁一高层 视野开阔无遮挡 望广州塔海印桥'],['富力东堤湾 '],['杨箕'],['3室2厅 | 119.78平米 | 西南 | 精装 | 高楼层(共30层) | 2006年 | 塔楼'],['1350'],"['112,707元/平']",越秀区
['豪景大厦 高层复式 格局方正实用'],['广信豪景大厦 '],['五羊新城'],['3室2厅 | 126.49平米 | 北 | 其他 | 高楼层(共25层) | 1995年 | 塔楼'],['850'],"['67,199元/平']",越秀区
['豪景大厦复式3居室 望广州塔 视野开阔 安静'],['广信豪景大厦 '],['五羊新城'],['3室2厅 | 126.49平米 | 东南 南 | 其他 | 中楼层(共25层) | 1995年 | 塔楼'],['890'],"['70,362元/平']",越秀区
['省实 正南电梯3房采光好视野扩出门地铁口'],['广信豪景大厦 '],['五羊新城'],['3室2厅 | 126.49平米 | 南 | 精装 | 低楼层(共25层) | 1995年 | 塔楼'],['880'],"['69,571元/平']",越秀区
['办公性质  电梯中层 视野开阔 看房方便'],['明月阁 '],['五羊新城'],['3室2厅 | 123.1平米 | 西 | 其他 | 中楼层(共25层)  | 板楼'],['169'],"['13,729元/平']",越秀区
['闹中取静 东实 实用大三房 带主套 采光通风好'],['五羊商住中心 '],['五羊新城'],['3室2厅 | 118.37平米 | 南 北 | 精装 | 高楼层(共9层) | 2000年 | 塔楼'],['498'],"['42,072元/平']",越秀区
['东兴小区 高层采光好 户型方正实用  近珠江新城'],['东兴小区 '],['五羊新城'],['3室2厅 | 114.31平米 | 南 | 其他 | 高楼层(共9层) | 1995年 | 塔楼'],['458'],"['40,067元/平']",越秀区
['明月阁  视野开阔，通风采光良好，配套设施齐全'],['明月阁 '],['五羊新城'],['3室1厅 | 123.09平米 | 南 | 精装 | 中楼层(共25层)  | 板楼'],['443'],"['35,990元/平']",越秀区
['复式高层 视野无遮挡 近地铁 近市场'],['广信豪景大厦 '],['五羊新城'],['3室1厅 | 126.49平米 | 北 | 简装 | 中楼层(共25层) | 1995年 | 塔楼'],['730'],"['57,713元/平']",越秀区
['锦城花园 南向三房 一手业主 产权清晰'],['锦城花园 '],['东风东'],['3室2厅 | 110.16平米 | 东南 | 简装 | 中楼层(共32层) | 1999年 | 塔楼'],['855'],"['77,615元/平']",越秀区
['中海锦城大花园，东风东校， 东南向三房，'],['锦城花园 '],['东风东'],['3室1厅 | 110.16平米 | 东南 南 | 简装 | 低楼层(共32层) | 1999年 | 塔楼'],['880'],"['79,884元/平']",越秀区
['B5栋南向大三房，光线好，东风东没占用，税费少！'],['锦城花园 '],['东风东'],['3室1厅 | 110.1平米 | 南 | 其他 | 中楼层(共32层) | 1999年 | 塔楼'],['950'],"['86,286元/平']",越秀区
['锦城花园 高层南向3房 花园小区 管理严格'],['锦城花园 '],['东风东'],['3室2厅 | 110.16平米 | 南 | 精装 | 中楼层(共32层) | 1999年 | 塔楼'],['950'],"['86,239元/平']",越秀区
['可加装电梯三房 原业主自住 精装修 安静东南向'],['五羊小区 '],['五羊新城'],['3室1厅 | 61平米 | 东南 | 其他 | 高楼层(共9层) | 1986年 | 塔楼'],['278'],"['45,574元/平']",越秀区
