标题,小区,地区,房源信息,总价,单价,所在区
['近华附 豪园林湖苑对流3房2卫 满5唯一少税 望园景'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 115.17平米 | 北 | 其他 | 低楼层(共22层) | 2017年 | 塔楼'],['85'],"['7,381元/平']",增城区
['此房户型方正，楼层适中，适合一家子居住，近华附'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 115.17平米 | 北 | 其他 | 高楼层(共22层)  | 塔楼'],['95'],"['8,249元/平']",增城区
['此房满二，全新精装修开发商交楼标准。'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 116.82平米 | 南 | 其他 | 低楼层(共22层)  | 塔楼'],['118'],"['10,102元/平']",增城区
['此为大三房，南北对流户型，出行方便，近华附。'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 118.23平米 | 西南 | 精装 | 低楼层(共18层) | 2017年 | 塔楼'],['120'],"['10,150元/平']",增城区
['碧桂园豪园临湖苑 高楼层 采光好'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 116.82平米 | 北 | 其他 | 高楼层(共22层)  | 塔楼'],['120'],"['10,273元/平']",增城区
['此房满五年，带家私电器，高层光线好，近华附。'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 115.13平米 | 南 北 | 精装 | 高楼层(共22层) | 2014年 | 塔楼'],['130'],"['11,292元/平']",增城区
['此房满五唯一，户型方正，南北对流，近华附。'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 115.78平米 | 东北 | 精装 | 低楼层(共22层)  | 塔楼'],['120'],"['10,365元/平']",增城区
['碧桂园豪园林湖苑 三室一厅 高楼层 采光好'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 116.07平米 | 东北 | 精装 | 高楼层(共22层)  | 塔楼'],['149'],"['12,838元/平']",增城区
['近华附 林湖苑南向3房2卫 望水库存和山林 满5年唯一'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.41平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼'],['85'],"['7,988元/平']",增城区
['碧桂园豪园林湖苑全新未入住小三房'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 88.9平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼'],['97'],"['10,912元/平']",增城区
['近华附 豪园林湖苑对流3房1卫 满5年唯一 少税'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 85.09平米 | 西南 | 其他 | 高楼层(共24层)  | 塔楼'],['85'],"['9,990元/平']",增城区
['近华附 碧桂园豪园林湖苑小三房 全南向望园心'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 89.67平米 | 西南 | 其他 | 低楼层(共18层)  | 塔楼'],['83'],"['9,257元/平']",增城区
['碧桂园豪园林湖苑 3室2厅 南'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 108.41平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼'],['95'],"['8,764元/平']",增城区
['华附旁 碧桂园豪园 南向三房带产权车位'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 106.62平米 | 南 | 其他 | 高楼层(共24层)  | 塔楼'],['90'],"['8,442元/平']",增城区
['碧桂园刚需三房，华师旁，看房方便。'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 89.67平米 | 西南 | 其他 | 中楼层(共18层)  | 塔楼'],['100'],"['11,153元/平']",增城区
['碧桂园豪园林湖苑 高楼层 3室2厅 采光好'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.49平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼'],['95'],"['8,922元/平']",增城区
['近华附 豪园林湖苑南向 3房2卫中高层  全新未住'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 106.91平米 | 南 | 其他 | 中楼层(共22层) | 2015年 | 塔楼'],['95'],"['8,886元/平']",增城区
['近华附 豪园林湖苑南向3房2卫 望山林 保养好'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.41平米 | 西南 | 其他 | 低楼层(共22层)  | 塔楼'],['89'],"['8,364元/平']",增城区
['碧桂园豪园林湖苑，南向三房望园林'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.62平米 | 西南 | 精装 | 低楼层(共24层)  | 塔楼'],['100'],"['9,380元/平']",增城区
['精装3房  望泳池 采光好中低楼层'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 106.91平米 | 南 | 其他 | 低楼层(共24层) | 2015年 | 塔楼'],['89'],"['8,325元/平']",增城区
['近华附 豪园林湖苑南向3房2卫  望园景 全新未住'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 108.37平米 | 南 | 其他 | 低楼层(共22层)  | 塔楼'],['90'],"['8,305元/平']",增城区
['碧桂园豪园林湖苑 3室1厅 西南'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 108.89平米 | 西南 | 精装 | 中楼层(共24层) | 2015年 | 塔楼'],['95'],"['8,725元/平']",增城区
['碧桂园豪园林湖苑 3室1厅 南'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 106.41平米 | 南 | 简装 | 高楼层(共22层)  | 塔楼'],['96'],"['9,022元/平']",增城区
['近华附 豪园林湖苑小高层小3房 满5年 保养好'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 85.09平米 | 东北 | 精装 | 高楼层(共24层)  | 塔楼'],['86'],"['10,107元/平']",增城区
['近华附 豪园林湖苑南北对流3房1卫 中高层 望湖景 全新'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 79.6平米 | 西北 | 其他 | 高楼层(共24层)  | 塔楼'],['65'],"['8,166元/平']",增城区
['近华附 豪园林湖苑 楼层好 采光充足 配套齐全'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 79.6平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼'],['70'],"['8,794元/平']",增城区
['碧桂园豪园林湖苑满五唯一全新未入住，高楼层'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.62平米 | 南 | 其他 | 高楼层(共24层)  | 塔楼'],['88'],"['8,254元/平']",增城区
['近华附 豪园林湖苑3房2卫 大阳台 采光充足'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 85.09平米 | 北 | 其他 | 中楼层(共24层)  | 塔楼'],['85'],"['9,990元/平']",增城区
['近华附 豪园林湖苑高层东南向小3房保养好 免费带车位'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 79.84平米 | 东南 | 精装 | 高楼层(共24层)  | 塔楼'],['85'],"['10,647元/平']",增城区
['近华附 林湖苑 东南向对流向3房2卫 全新未住 望园景'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 79.84平米 | 南 北 | 其他 | 低楼层(共24层)  | 塔楼'],['76.8'],"['9,620元/平']",增城区
['此房户型方正，使用率高，带阁楼。'],['碧桂园豪园翠湖苑 '],['增城碧桂园'],['3室2厅 | 124.19平米 | 南 | 精装 | 高楼层(共6层) | 2010年 | 板塔结合'],['90'],"['7,247元/平']",增城区
['近华附 豪园林湖苑 中高层湖景3房2卫 保养好满5少税'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室1厅 | 134.8平米 | 东南 南 | 其他 | 中楼层(共21层) | 2014年 | 塔楼'],['175'],"['12,983元/平']",增城区
['碧桂园豪园林湖苑 3室2厅 南'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 134.8平米 | 南 | 简装 | 高楼层(共21层) | 2014年 | 塔楼'],['210'],"['15,579元/平']",增城区
['碧桂园豪园林湖苑 3室2厅 南'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.41平米 | 南 | 精装 | 高楼层(共22层) | 2017年 | 塔楼'],['128'],"['12,029元/平']",增城区
['碧桂园豪园林湖苑精装三房二厅一厨一卫'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.62平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼'],['148'],"['13,882元/平']",增城区
['此房是南向大三房，带两个车位，楼层靓'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 98.19平米 | 南 | 其他 | 低楼层(共21层) | 2014年 | 塔楼'],['110'],"['11,203元/平']",增城区
['碧桂园豪园林湖苑 3室2厅 东南'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.62平米 | 东南 | 其他 | 中楼层(共24层)  | 塔楼'],['115'],"['10,786元/平']",增城区
['碧桂园豪园林湖苑 3室2厅 东南 西南'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['3室2厅 | 106.62平米 | 东南 西南 | 其他 | 高楼层(共24层)  | 塔楼'],['115'],"['10,786元/平']",增城区
['此房满五年，少税，高楼层，光线好，近华附。'],['碧桂园豪园林湖苑 '],['增城碧桂园'],['2室2厅 | 67.98平米 | 北 | 精装 | 高楼层(共24层)  | 塔楼'],['65'],"['9,562元/平']",增城区
['此房是南向毛坯房，随意装修，带两个车位，中间楼层'],['碧桂园豪园荔湖苑 '],['增城碧桂园'],['3室2厅 | 110.68平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼'],['125'],"['11,294元/平']",增城区
['此房户型方正明户型光线好近华附'],['碧桂园豪园挂绿湖 '],['增城碧桂园'],['3室2厅 | 124.85平米 | 北 | 其他 | 高楼层(共28层) | 2018年 | 塔楼'],['170'],"['13,617元/平']",增城区
['城芯税费低 地铁口城地铁口繁华闹市配套齐全环境优美'],['罗岗村南区 '],['增城碧桂园'],['3室2厅 | 121.43平米 | 南 | 其他 | 低楼层(共18层) | 2018年 | 塔楼'],['108'],"['8,895元/平']",增城区
['近华附 挂绿湖 南北对流3房2卫带独立衣帽间 带2车位'],['碧桂园豪园挂绿湖 '],['增城碧桂园'],['3室2厅 | 124.85平米 | 南 北 | 其他 | 低楼层(共28层) | 2018年 | 塔楼'],['148'],"['11,855元/平']",增城区
['近华附 南北对流 3房2卫 高层望别墅 带2车位'],['碧桂园豪园荔山苑 '],['增城碧桂园'],['3室2厅 | 117.69平米 | 东北 | 其他 | 高楼层(共22层) | 2018年 | 塔楼'],['150'],"['12,746元/平']",增城区
['近华附 荔湖苑中层南向对流3房 免费带产权车位'],['碧桂园豪园荔湖苑 '],['增城碧桂园'],['3室2厅 | 110.62平米 | 南 | 其他 | 中楼层(共17层) | 2017年 | 塔楼'],['125'],"['11,300元/平']",增城区
