总价,所在区,房屋户型,建筑面积,房屋朝向,装修情况,所在楼层,建筑类型,建房时长
2201.0,10,5,129.91,2,0,3,3,20
1570.0,10,5,129.98,6,3,3,3,20
1788.0,10,4,129.51,7,3,2,3,20
2150.0,10,5,129.91,2,3,3,3,20
2020.0,10,5,152.32,2,3,2,3,20
2100.0,10,4,152.51,6,0,3,3,20
1500.0,10,6,125.22,6,0,3,3,20
1888.0,10,6,125.14,2,2,2,3,20
1590.0,10,6,125.14,2,3,1,3,20
1668.0,10,4,115.07,1,0,1,3,16
2500.0,10,5,127.44,1,0,2,3,19
2380.0,10,4,127.34,1,0,2,3,19
1950.0,10,5,125.87,1,0,2,3,19
1920.0,10,5,122.92,7,3,1,3,9
2400.0,10,5,125.87,1,0,2,3,19
2630.0,10,5,122.92,7,0,2,3,9
2730.0,10,5,122.92,7,3,3,3,9
1450.0,10,4,110.9,1,3,3,3,16
2390.0,10,5,127.43,5,3,3,3,19
2000.0,10,5,127.44,1,3,2,3,19
2700.0,10,5,122.92,7,0,3,3,9
1578.0,10,5,112.71,7,3,3,3,16
1340.0,10,5,115.08,1,0,2,3,16
2300.0,10,5,124.25,7,3,3,3,19
2300.0,10,4,124.25,7,3,3,3,19
1980.0,10,5,127.44,4,0,1,3,19
1268.0,10,5,125.41,2,3,3,3,20
1980.0,10,6,152.32,7,3,2,3,20
1299.0,10,5,107.86,1,3,1,3,16
1750.0,10,5,115.46,2,3,2,3,20
1400.0,10,4,124.8,7,0,1,2,20
1990.0,10,5,124.73,6,3,1,3,20
1750.0,10,5,124.8,7,3,1,3,20
1500.0,10,5,124.8,6,2,2,2,20
1500.0,10,4,124.8,6,0,1,3,20
1600.0,10,5,125.33,7,3,3,2,20
1880.0,10,5,124.8,7,3,2,3,20
1299.0,10,4,117.11,4,0,2,3,15
1300.0,10,4,119.21,6,0,3,3,23
2500.0,10,4,152.33,7,3,2,3,19
2470.0,10,5,152.34,3,0,2,3,9
2580.0,10,5,153.1,2,3,2,3,9
2880.0,10,4,153.35,3,3,2,3,9
1855.0,10,5,109.46,1,3,3,3,16
1480.0,10,5,107.86,1,3,3,3,16
2150.0,10,5,153.36,3,0,2,3,9
2800.0,10,4,152.68,2,3,3,3,9
1650.0,10,4,107.86,1,3,1,3,16
1220.0,10,4,107.86,1,3,2,3,16
2680.0,10,4,153.1,3,3,2,3,9
2850.0,10,4,152.34,3,3,3,3,9
2398.0,10,4,157.59,3,3,2,3,9
2750.0,10,5,152.34,3,3,3,3,9
3700.0,10,4,185.02,1,0,1,3,9
2220.0,10,4,166.05,7,0,3,3,15
2780.0,10,5,173.64,1,3,2,3,9
2650.0,10,5,152.33,7,2,3,3,19
2880.0,10,4,153.35,3,3,2,3,9
368.0,10,4,44.24,3,3,3,3,16
2230.0,10,4,152.68,3,3,2,3,9
1050.0,10,5,129.93,6,2,1,3,23
888.0,10,5,118.22,6,0,1,1,26
1650.0,10,5,120.04,7,3,1,3,20
460.0,10,4,129.43,2,0,1,2,19
750.0,10,5,117.6,4,3,2,1,26
2150.0,10,5,117.1,1,0,3,3,15
1490.0,10,5,126.9,7,3,1,3,15
1600.0,10,5,129.93,6,3,2,3,23
1050.0,10,5,129.93,2,0,3,3,23
1439.0,10,5,120.03,7,2,3,3,20
1980.0,10,4,126.29,7,3,1,3,15
480.0,10,4,128.54,0,0,3,3,19
